2024-06-25 15:25:00.673 [restartedMain] INFO  org.springframework.security.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@4feebd18, org.springframework.security.web.context.SecurityContextPersistenceFilter@6fbd75bf, org.springframework.security.web.header.HeaderWriterFilter@5ec600a9, org.springframework.web.filter.CorsFilter@27575dd6, org.springframework.security.web.authentication.logout.LogoutFilter@70872e23, com.tms.aiims.grievance.security.JwtAuthenticationFilter@487ae570, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@30f8b3cf, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@2c4f4a4f, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@2c74f099, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@6c7ce550, org.springframework.security.web.session.SessionManagementFilter@2b058e25, org.springframework.security.web.access.ExceptionTranslationFilter@227d7a29, org.springframework.security.web.access.intercept.AuthorizationFilter@2c3abf59]
2024-06-25 15:25:01.118 [restartedMain] INFO  com.tms.aiims.grievance.AiimsTmsAppApisApplication - Started AiimsTmsAppApisApplication in 3.855 seconds (JVM running for 4.411)
2024-06-25 15:25:16.768 [restartedMain] INFO  com.tms.aiims.grievance.AiimsTmsAppApisApplication - Starting AiimsTmsAppApisApplication using Java 21.0.3 on DESKTOP-S6TPJ2G with PID 7736 (C:\WORKSPACE\aiims-tms-app-apis\target\classes started by USER in C:\WORKSPACE\aiims-tms-app-apis)
2024-06-25 15:25:16.768 [restartedMain] INFO  com.tms.aiims.grievance.AiimsTmsAppApisApplication - No active profile set, falling back to 1 default profile: "default"
2024-06-25 15:25:17.710 [restartedMain] INFO  org.springframework.security.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@443f685d, org.springframework.security.web.context.SecurityContextPersistenceFilter@13491d85, org.springframework.security.web.header.HeaderWriterFilter@2de5a7f5, org.springframework.web.filter.CorsFilter@29cbaefb, org.springframework.security.web.authentication.logout.LogoutFilter@18c8ffbf, com.tms.aiims.grievance.security.JwtAuthenticationFilter@7d7dbc24, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@478ec0aa, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@2f3a4a6b, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@1d30a88d, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@41be809, org.springframework.security.web.session.SessionManagementFilter@4a754222, org.springframework.security.web.access.ExceptionTranslationFilter@9616622, org.springframework.security.web.access.intercept.AuthorizationFilter@7d303f29]
2024-06-25 15:25:17.916 [restartedMain] INFO  com.tms.aiims.grievance.AiimsTmsAppApisApplication - Started AiimsTmsAppApisApplication in 1.169 seconds (JVM running for 21.209)
2024-06-25 16:51:37.554 [restartedMain] INFO  com.tms.aiims.grievance.AiimsTmsAppApisApplication - Starting AiimsTmsAppApisApplication using Java 21.0.3 on DESKTOP-S6TPJ2G with PID 7736 (C:\WORKSPACE\aiims-tms-app-apis\target\classes started by USER in C:\WORKSPACE\aiims-tms-app-apis)
2024-06-25 16:51:37.554 [restartedMain] INFO  com.tms.aiims.grievance.AiimsTmsAppApisApplication - No active profile set, falling back to 1 default profile: "default"
2024-06-25 16:51:38.496 [restartedMain] INFO  org.springframework.security.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@5648a496, org.springframework.security.web.context.SecurityContextPersistenceFilter@7e711acd, org.springframework.security.web.header.HeaderWriterFilter@4f2774ce, org.springframework.web.filter.CorsFilter@16b83088, org.springframework.security.web.authentication.logout.LogoutFilter@7afa147f, com.tms.aiims.grievance.security.JwtAuthenticationFilter@74dfba21, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@c1ad856, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@1fb76431, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@52ee88e9, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@1a518a0, org.springframework.security.web.session.SessionManagementFilter@2f1b7d06, org.springframework.security.web.access.ExceptionTranslationFilter@6dac24a4, org.springframework.security.web.access.intercept.AuthorizationFilter@7847031d]
2024-06-25 16:51:38.688 [restartedMain] INFO  com.tms.aiims.grievance.AiimsTmsAppApisApplication - Started AiimsTmsAppApisApplication in 1.157 seconds (JVM running for 5201.981)
